a|Do you want a cookie?
and|Hat and scarf
are|You are a great friend
as|as we walk to the park
be|To be or not to be
both|Both of us are going
do|Do you know the muffin man?
does|What does it mean?
for|For the love of paper
from|From the depths of the ocean
has|She has brown hair
have|I have a dog
he|He is the best father in any known or unknown universe
his|His name is John
I|I am a robot
into|Into the unknown
is|She is kind
me|me myself and I
of|Beatrice of Abalard
one|You are number one
or|Waffles or pancakes?
shall|Shall we go?
she|She is kind
the|The word is the
they|They are going
to|To the moon and back
want|Do you want a cookie?
was|He was going
we|We are going to the park
you|You need to spell you
your|Your shoelaces are untied
